,mean_power,median_power,frequency,time,station
111814,-109.60869529614725,-106.73841870040258,18.1019,2015-12-17,3A05
111815,-108.01304050107741,-105.13925113937526,19.7403,2015-12-17,3A05
111816,-98.18644990277251,-95.28454777511294,21.5269,2015-12-17,3A05
111817,-64.18318345192651,-61.31330260086267,23.4753,2015-12-17,3A05
111818,-98.67577823309196,-98.69082355224091,0.0052556,2015-12-18,3A05
111819,-99.5387851696481,-99.64420985049917,0.00573128,2015-12-18,3A05
111820,-100.2913523780308,-100.39677705888184,0.00625,2015-12-18,3A05
111821,-101.13179454410312,-101.24434773559248,0.00681567,2015-12-18,3A05
111822,-101.88436922218276,-101.9969224136721,0.00743254,2015-12-18,3A05
111823,-103.00583722945392,-103.23340531456029,0.00810525,2015-12-18,3A05
